doc_id,source,category,file_path,file_name,status,priority
dnv_dnv_class_2026_04_dnv_cp_0407_515c3c3a,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0407.pdf,DNV-CP-0407.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0349_9e5a74db,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0349.pdf,DNV-CP-0349.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0596_bc137cd2,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0596.pdf,DNV-CP-0596.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0396_f96fb5b0,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0396.pdf,DNV-CP-0396.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0098_e13fa9b8,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0098.pdf,DNV-CP-0098.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0110_b84cabfd,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0110.pdf,DNV-CP-0110.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0633_6eecbe58,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0633.pdf,DNV-CP-0633.pdf,pending,3
mepc_mepc_mepc_84_6_2_report_on_annual_carbon_intensity_and_efficiency_of_the_fleet_reporting_year_2024_secretariat_3b6842cb,MEPC,GENERAL,data/raw_pdfs/MEPC/MEPC 84-6-2 - Report on annual carbon intensity and efficiency of the fleet (Reporting year 2024) (Secretariat).pdf,MEPC 84-6-2 - Report on annual carbon intensity and efficiency of the fleet (Reporting year 2024) (Secretariat).pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0401_530e4130,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0401.pdf,DNV-CP-0401.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0431_8f407164,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0431.pdf,DNV-CP-0431.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0500_4594010d,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0500.pdf,DNV-CP-0500.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0634_27ef5d94,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0634.pdf,DNV-CP-0634.pdf,pending,3
dnv_dnv_class_2026_04_dnv_si_0289_f59a4327,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-SI-0289.pdf,DNV-SI-0289.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0620_2af56431,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0620.pdf,DNV-CP-0620.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0399_0bf0af37,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0399.pdf,DNV-CP-0399.pdf,pending,3
mepc_mepc_mepc_84_7_29_operational_experience_and_technical_compatibility_of_sustainable_biofuels_intertanko_913e6f92,MEPC,GENERAL,data/raw_pdfs/MEPC/MEPC 84-7-29 - Operational experience and technical compatibility of sustainable biofuels (INTERTANKO).pdf,MEPC 84-7-29 - Operational experience and technical compatibility of sustainable biofuels (INTERTANKO).pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0398_19599379,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0398.pdf,DNV-CP-0398.pdf,pending,3
